customer_id,Recency,Frequency,Monetary,R,F,M,RFM,Customer_Class
1,9,11,3018.09,1,7.0,3,36.6666666666667,Loyal Customer
2,130,3,2226.26,4,1.0,2,23.3333333333333,At Risk
3,104,8,3362.81,3,5.0,3,36.6666666666667,Other
4,197,2,220.57,6,1.0,1,26.6666666666667,Other
5,18,6,2394.94,1,4.0,3,26.6666666666667,Other
6,66,5,3946.55,2,3.0,4,30.0,At Risk
7,255,3,220.11,7,1.0,1,30.0,Low Value
8,24,10,7066.94,1,7.0,7,50.0,High Value
9,80,6,2353.11,3,4.0,3,33.3333333333333,Other
10,45,5,3358.28,2,3.0,3,26.6666666666667,At Risk
11,48,6,3638.84,2,4.0,4,33.3333333333333,Medium Value
12,69,7,3540.03,2,4.0,4,33.3333333333333,Medium Value
13,29,7,4337.38,1,4.0,4,30.0,Medium Value
14,49,3,1713.9,2,1.0,2,16.6666666666667,At Risk
15,37,6,1728.39,2,4.0,2,26.6666666666667,Other
16,101,5,4521.84,3,3.0,4,33.3333333333333,At Risk
17,2,5,2015.61,1,3.0,2,20.0,At Risk
18,136,7,3543.38,4,4.0,4,40.0,Medium Value
19,104,3,2951.79,3,1.0,3,23.3333333333333,At Risk
20,33,4,3608.28,1,2.0,4,23.3333333333333,At Risk
21,8,5,4229.41,1,3.0,4,26.6666666666667,At Risk
22,99,7,4286.95,3,4.0,4,36.6666666666667,Medium Value
23,12,6,4376.15,1,4.0,4,30.0,Medium Value
24,19,7,3689.35,1,4.0,4,30.0,Medium Value
25,7,12,5333.66,1,8.0,5,46.6666666666667,Medium Value
26,261,2,268.24,8,1.0,1,33.3333333333333,Low Value
27,145,7,3274.25,4,4.0,3,36.6666666666667,Other
28,85,6,3366.56,3,4.0,3,33.3333333333333,Other
29,24,9,6175.3,1,6.0,6,43.3333333333333,Medium Value
30,13,3,2633.95,1,1.0,3,16.6666666666667,At Risk
31,91,4,426.11,3,2.0,1,20.0,At Risk
32,140,7,2823.12,4,4.0,3,36.6666666666667,Other
33,40,6,5150.45,2,4.0,5,36.6666666666667,Medium Value
34,104,8,4825.59,3,5.0,5,43.3333333333333,Medium Value
35,94,4,3706.51,3,2.0,4,30.0,At Risk
36,165,2,204.36,5,1.0,1,23.3333333333333,Other
37,9,9,6338.49,1,6.0,6,43.3333333333333,Medium Value
38,52,4,2025.34,2,2.0,2,20.0,At Risk
39,36,12,6085.17,1,8.0,6,50.0,Medium Value
40,16,6,4552.1,1,4.0,4,30.0,Medium Value
41,31,8,4531.68,1,5.0,4,33.3333333333333,Medium Value
42,113,4,427.04,4,2.0,1,23.3333333333333,At Risk
43,63,9,3619.95,2,6.0,4,40.0,Medium Value
44,37,7,4768.28,2,4.0,5,36.6666666666667,Medium Value
45,45,3,1048.15,2,1.0,1,13.3333333333333,At Risk
46,55,5,1623.63,2,3.0,2,23.3333333333333,At Risk
47,37,7,4332.19,2,4.0,4,33.3333333333333,Medium Value
48,84,8,5561.08,3,5.0,5,43.3333333333333,Medium Value
49,38,5,4248.68,2,3.0,4,30.0,At Risk
50,28,8,5783.66,1,5.0,5,36.6666666666667,Medium Value
51,57,8,4855.4,2,5.0,5,40.0,Medium Value
52,6,6,5417.83,1,4.0,5,33.3333333333333,Medium Value
53,9,5,2950.07,1,3.0,3,23.3333333333333,At Risk
54,69,7,4098.21,2,4.0,4,33.3333333333333,Medium Value
55,48,8,3220.86,2,5.0,3,33.3333333333333,Other
56,4,7,1275.24,1,4.0,2,23.3333333333333,Other
57,37,6,5117.96,2,4.0,5,36.6666666666667,Medium Value
58,22,8,3501.37,1,5.0,4,33.3333333333333,Medium Value
59,24,3,2628.37,1,1.0,3,16.6666666666667,At Risk
60,202,2,647.22,6,1.0,1,26.6666666666667,Other
61,49,6,4254.24,2,4.0,4,33.3333333333333,Medium Value
62,7,6,4920.88,1,4.0,5,33.3333333333333,Medium Value
63,70,3,2190.05,2,1.0,2,16.6666666666667,At Risk
64,5,5,546.68,1,3.0,1,16.6666666666667,At Risk
65,138,6,4441.61,4,4.0,4,40.0,Medium Value
66,45,4,3333.86,2,2.0,3,23.3333333333333,At Risk
67,118,5,1203.29,4,3.0,2,30.0,At Risk
68,86,3,3842.56,3,1.0,4,26.6666666666667,At Risk
69,22,6,5294.75,1,4.0,5,33.3333333333333,Medium Value
70,6,5,2736.9,1,3.0,3,23.3333333333333,At Risk
71,133,1,155.65,4,,1,,Other
72,24,4,2559.78,1,2.0,3,20.0,At Risk
73,170,6,2316.51,5,4.0,2,36.6666666666667,Other
74,30,3,966.52,1,1.0,1,10.0,At Risk
75,62,8,4979.94,2,5.0,5,40.0,Medium Value
76,3,8,2868.16,1,5.0,3,30.0,Other
77,103,3,1657.58,3,1.0,2,20.0,At Risk
78,213,2,82.26,6,1.0,1,26.6666666666667,Other
79,45,6,2597.46,2,4.0,3,30.0,Other
80,30,10,5988.86,1,7.0,6,46.6666666666667,Medium Value
81,6,4,3249.02,1,2.0,3,20.0,At Risk
82,80,5,2924.37,3,3.0,3,30.0,At Risk
83,82,6,1798.2,3,4.0,2,30.0,Other
84,30,7,2295.22,1,4.0,2,23.3333333333333,Other
85,39,6,563.37,2,4.0,1,23.3333333333333,Other
86,2,9,2360.09,1,6.0,3,33.3333333333333,Other
87,20,9,3740.76,1,6.0,4,36.6666666666667,Medium Value
88,76,6,2534.33,3,4.0,3,33.3333333333333,Other
89,6,9,5779.65,1,6.0,5,40.0,Medium Value
90,32,7,2990.73,1,4.0,3,26.6666666666667,Other
91,11,8,5242.41,1,5.0,5,36.6666666666667,Medium Value
92,36,3,2967.44,1,1.0,3,16.6666666666667,At Risk
93,81,3,2976.41,3,1.0,3,23.3333333333333,At Risk
94,35,7,4902.21,1,4.0,5,33.3333333333333,Medium Value
95,40,4,3050.81,2,2.0,3,23.3333333333333,At Risk
96,72,3,1135.25,2,1.0,1,13.3333333333333,At Risk
97,104,8,4911.21,3,5.0,5,43.3333333333333,Medium Value
98,124,5,1930.56,4,3.0,2,30.0,At Risk
99,4,9,4557.65,1,6.0,4,36.6666666666667,Medium Value
100,13,2,877.4,1,1.0,1,10.0,At Risk
101,10,4,2589.89,1,2.0,3,20.0,At Risk
102,44,7,2587.01,2,4.0,3,30.0,Other
103,51,5,913.32,2,3.0,1,20.0,At Risk
104,66,8,3550.26,2,5.0,4,36.6666666666667,Medium Value
105,91,4,3475.04,3,2.0,3,26.6666666666667,At Risk
106,3,3,2513.69,1,1.0,3,16.6666666666667,At Risk
107,83,4,2343.97,3,2.0,3,26.6666666666667,At Risk
108,12,3,2557.42,1,1.0,3,16.6666666666667,At Risk
109,10,10,4430.66,1,7.0,4,40.0,Medium Value
110,16,7,2621.55,1,4.0,3,26.6666666666667,Other
111,149,4,3014.53,5,2.0,3,33.3333333333333,Other
112,49,6,5742.19,2,4.0,5,36.6666666666667,Medium Value
113,177,5,2200.48,5,3.0,2,33.3333333333333,Other
114,72,4,2195.26,2,2.0,2,20.0,At Risk
115,16,8,3135.87,1,5.0,3,30.0,Other
116,14,8,2447.54,1,5.0,3,30.0,Other
117,7,10,6917.34,1,7.0,6,46.6666666666667,Medium Value
118,71,5,3550.1,2,3.0,4,30.0,At Risk
119,32,4,4217.24,1,2.0,4,23.3333333333333,At Risk
120,131,3,1306.78,4,1.0,2,23.3333333333333,At Risk
121,113,4,2892.09,4,2.0,3,30.0,At Risk
122,10,5,2695.22,1,3.0,3,23.3333333333333,At Risk
123,193,4,3245.75,6,2.0,3,36.6666666666667,Other
124,4,7,4054.25,1,4.0,4,30.0,Medium Value
125,85,9,3303.88,3,6.0,3,40.0,Other
126,13,3,1096.46,1,1.0,1,10.0,At Risk
127,25,10,3993.71,1,7.0,4,40.0,Medium Value
128,139,4,2193.06,4,2.0,2,26.6666666666667,At Risk
129,180,4,2753.75,5,2.0,3,33.3333333333333,Other
130,78,2,1779.58,3,1.0,2,20.0,At Risk
131,207,6,5494.91,6,4.0,5,50.0,Medium Value
132,9,6,2780.72,1,4.0,3,26.6666666666667,Other
133,28,5,803.89,1,3.0,1,16.6666666666667,At Risk
134,16,6,2946.42,1,4.0,3,26.6666666666667,Other
135,117,6,3254.07,4,4.0,3,36.6666666666667,Other
136,22,8,3543.2,1,5.0,4,33.3333333333333,Medium Value
137,29,5,1496.45,1,3.0,2,20.0,At Risk
138,66,7,3377.12,2,4.0,3,30.0,Other
139,28,9,5161.44,1,6.0,5,40.0,Medium Value
140,5,6,2699.9,1,4.0,3,26.6666666666667,Other
141,161,3,2138.35,5,1.0,2,26.6666666666667,Other
142,6,11,3917.34,1,7.0,4,40.0,Medium Value
143,15,4,2474.77,1,2.0,3,20.0,At Risk
144,8,8,4888.02,1,5.0,5,36.6666666666667,Medium Value
145,30,7,3140.3,1,4.0,3,26.6666666666667,Other
146,196,2,217.06,6,1.0,1,26.6666666666667,Other
147,36,6,5034.16,1,4.0,5,33.3333333333333,Medium Value
148,45,5,3268.4,2,3.0,3,26.6666666666667,At Risk
149,20,5,2129.34,1,3.0,2,20.0,At Risk
150,77,4,2446.51,3,2.0,3,26.6666666666667,At Risk
151,2,7,5665.41,1,4.0,5,33.3333333333333,Medium Value
152,160,2,1966.88,5,1.0,2,26.6666666666667,Other
153,66,7,5522.51,2,4.0,5,36.6666666666667,Medium Value
154,25,5,683.63,1,3.0,1,16.6666666666667,At Risk
155,10,3,1088.42,1,1.0,1,10.0,At Risk
156,18,5,3095.37,1,3.0,3,23.3333333333333,At Risk
157,137,3,381.42,4,1.0,1,20.0,At Risk
158,67,6,4627.35,2,4.0,4,33.3333333333333,Medium Value
159,68,6,2935.37,2,4.0,3,30.0,Other
160,95,2,2614.16,3,1.0,3,23.3333333333333,At Risk
161,161,1,459.46,5,,1,,Other
162,100,3,1329.61,3,1.0,2,20.0,At Risk
163,116,2,1101.28,4,1.0,1,20.0,At Risk
164,200,3,786.14,6,1.0,1,26.6666666666667,Other
165,10,9,6182.52,1,6.0,6,43.3333333333333,Medium Value
166,65,8,4197.44,2,5.0,4,36.6666666666667,Medium Value
167,16,9,5993.34,1,6.0,6,43.3333333333333,Medium Value
168,138,8,5800.6,4,5.0,5,46.6666666666667,Medium Value
169,63,3,696.26,2,1.0,1,13.3333333333333,At Risk
170,102,3,1369.16,3,1.0,2,20.0,At Risk
171,20,8,4833.14,1,5.0,5,36.6666666666667,Medium Value
172,13,7,2348.66,1,4.0,3,26.6666666666667,Other
173,17,9,6549.51,1,6.0,6,43.3333333333333,Medium Value
174,13,10,7628.24,1,7.0,7,50.0,High Value
175,66,5,2170.54,2,3.0,2,23.3333333333333,At Risk
176,24,5,3090.07,1,3.0,3,23.3333333333333,At Risk
177,39,11,3980.14,2,7.0,4,43.3333333333333,Medium Value
178,34,4,2184.58,1,2.0,2,16.6666666666667,At Risk
179,42,3,1814.59,2,1.0,2,16.6666666666667,At Risk
180,13,7,4065.35,1,4.0,4,30.0,Medium Value
181,52,5,2365.24,2,3.0,3,26.6666666666667,At Risk
182,15,7,5409.12,1,4.0,5,33.3333333333333,Medium Value
183,104,6,3187.84,3,4.0,3,33.3333333333333,Other
184,34,3,2181.35,1,1.0,2,13.3333333333333,At Risk
185,10,7,3547.68,1,4.0,4,30.0,Medium Value
186,25,6,2166.17,1,4.0,2,23.3333333333333,Other
187,16,7,3014.88,1,4.0,3,26.6666666666667,Other
188,17,6,2658.87,1,4.0,3,26.6666666666667,Other
189,5,5,5329.98,1,3.0,5,30.0,At Risk
190,209,3,699.48,6,1.0,1,26.6666666666667,Other
191,107,1,834.94,3,,1,,Other
192,81,4,1519.47,3,2.0,2,23.3333333333333,At Risk
193,26,5,2551.5,1,3.0,3,23.3333333333333,At Risk
194,110,3,2608.28,3,1.0,3,23.3333333333333,At Risk
