customer_id,Recency,Frequency,Monetary,R,F,M,RFM
1,9,11,3018.09,1,7,3,36.6666666666667
2,130,3,2226.26,4,1,2,23.3333333333333
3,104,8,3362.81,3,5,3,36.6666666666667
4,197,2,220.57,6,1,1,26.6666666666667
5,18,6,2394.94,1,4,3,26.6666666666667
6,66,5,3946.55,2,3,4,30
7,255,3,220.11,7,1,1,30
8,24,10,7066.94,1,7,7,50
9,80,6,2353.11,3,4,3,33.3333333333333
10,45,5,3358.28,2,3,3,26.6666666666667
11,48,6,3638.84,2,4,4,33.3333333333333
12,69,7,3540.03,2,4,4,33.3333333333333
13,29,7,4337.38,1,4,4,30
14,49,3,1713.9,2,1,2,16.6666666666667
15,37,6,1728.39,2,4,2,26.6666666666667
16,101,5,4521.84,3,3,4,33.3333333333333
17,2,5,2015.61,1,3,2,20
18,136,7,3543.38,4,4,4,40
19,104,3,2951.79,3,1,3,23.3333333333333
20,33,4,3608.28,1,2,4,23.3333333333333
21,8,5,4229.41,1,3,4,26.6666666666667
22,99,7,4286.95,3,4,4,36.6666666666667
23,12,6,4376.15,1,4,4,30
24,19,7,3689.35,1,4,4,30
25,7,12,5333.66,1,8,5,46.6666666666667
26,261,2,268.24,8,1,1,33.3333333333333
27,145,7,3274.25,4,4,3,36.6666666666667
28,85,6,3366.56,3,4,3,33.3333333333333
29,24,9,6175.3,1,6,6,43.3333333333333
30,13,3,2633.95,1,1,3,16.6666666666667
31,91,4,426.11,3,2,1,20
32,140,7,2823.12,4,4,3,36.6666666666667
33,40,6,5150.45,2,4,5,36.6666666666667
34,104,8,4825.59,3,5,5,43.3333333333333
35,94,4,3706.51,3,2,4,30
36,165,2,204.36,5,1,1,23.3333333333333
37,9,9,6338.49,1,6,6,43.3333333333333
38,52,4,2025.34,2,2,2,20
39,36,12,6085.17,1,8,6,50
40,16,6,4552.1,1,4,4,30
41,31,8,4531.68,1,5,4,33.3333333333333
42,113,4,427.04,4,2,1,23.3333333333333
43,63,9,3619.95,2,6,4,40
44,37,7,4768.28,2,4,5,36.6666666666667
45,45,3,1048.15,2,1,1,13.3333333333333
46,55,5,1623.63,2,3,2,23.3333333333333
47,37,7,4332.19,2,4,4,33.3333333333333
48,84,8,5561.08,3,5,5,43.3333333333333
49,38,5,4248.68,2,3,4,30
50,28,8,5783.66,1,5,5,36.6666666666667
51,57,8,4855.4,2,5,5,40
52,6,6,5417.83,1,4,5,33.3333333333333
53,9,5,2950.07,1,3,3,23.3333333333333
54,69,7,4098.21,2,4,4,33.3333333333333
55,48,8,3220.86,2,5,3,33.3333333333333
56,4,7,1275.24,1,4,2,23.3333333333333
57,37,6,5117.96,2,4,5,36.6666666666667
58,22,8,3501.37,1,5,4,33.3333333333333
59,24,3,2628.37,1,1,3,16.6666666666667
60,202,2,647.22,6,1,1,26.6666666666667
61,49,6,4254.24,2,4,4,33.3333333333333
62,7,6,4920.88,1,4,5,33.3333333333333
63,70,3,2190.05,2,1,2,16.6666666666667
64,5,5,546.68,1,3,1,16.6666666666667
65,138,6,4441.61,4,4,4,40
66,45,4,3333.86,2,2,3,23.3333333333333
67,118,5,1203.29,4,3,2,30
68,86,3,3842.56,3,1,4,26.6666666666667
69,22,6,5294.75,1,4,5,33.3333333333333
70,6,5,2736.9,1,3,3,23.3333333333333
71,133,1,155.65,4,,1,
72,24,4,2559.78,1,2,3,20
73,170,6,2316.51,5,4,2,36.6666666666667
74,30,3,966.52,1,1,1,10
75,62,8,4979.94,2,5,5,40
76,3,8,2868.16,1,5,3,30
77,103,3,1657.58,3,1,2,20
78,213,2,82.26,6,1,1,26.6666666666667
79,45,6,2597.46,2,4,3,30
80,30,10,5988.86,1,7,6,46.6666666666667
81,6,4,3249.02,1,2,3,20
82,80,5,2924.37,3,3,3,30
83,82,6,1798.2,3,4,2,30
84,30,7,2295.22,1,4,2,23.3333333333333
85,39,6,563.37,2,4,1,23.3333333333333
86,2,9,2360.09,1,6,3,33.3333333333333
87,20,9,3740.76,1,6,4,36.6666666666667
88,76,6,2534.33,3,4,3,33.3333333333333
89,6,9,5779.65,1,6,5,40
90,32,7,2990.73,1,4,3,26.6666666666667
91,11,8,5242.41,1,5,5,36.6666666666667
92,36,3,2967.44,1,1,3,16.6666666666667
93,81,3,2976.41,3,1,3,23.3333333333333
94,35,7,4902.21,1,4,5,33.3333333333333
95,40,4,3050.81,2,2,3,23.3333333333333
96,72,3,1135.25,2,1,1,13.3333333333333
97,104,8,4911.21,3,5,5,43.3333333333333
98,124,5,1930.56,4,3,2,30
99,4,9,4557.65,1,6,4,36.6666666666667
100,13,2,877.4,1,1,1,10
101,10,4,2589.89,1,2,3,20
102,44,7,2587.01,2,4,3,30
103,51,5,913.32,2,3,1,20
104,66,8,3550.26,2,5,4,36.6666666666667
105,91,4,3475.04,3,2,3,26.6666666666667
106,3,3,2513.69,1,1,3,16.6666666666667
107,83,4,2343.97,3,2,3,26.6666666666667
108,12,3,2557.42,1,1,3,16.6666666666667
109,10,10,4430.66,1,7,4,40
110,16,7,2621.55,1,4,3,26.6666666666667
111,149,4,3014.53,5,2,3,33.3333333333333
112,49,6,5742.19,2,4,5,36.6666666666667
113,177,5,2200.48,5,3,2,33.3333333333333
114,72,4,2195.26,2,2,2,20
115,16,8,3135.87,1,5,3,30
116,14,8,2447.54,1,5,3,30
117,7,10,6917.34,1,7,6,46.6666666666667
118,71,5,3550.1,2,3,4,30
119,32,4,4217.24,1,2,4,23.3333333333333
120,131,3,1306.78,4,1,2,23.3333333333333
121,113,4,2892.09,4,2,3,30
122,10,5,2695.22,1,3,3,23.3333333333333
123,193,4,3245.75,6,2,3,36.6666666666667
124,4,7,4054.25,1,4,4,30
125,85,9,3303.88,3,6,3,40
126,13,3,1096.46,1,1,1,10
127,25,10,3993.71,1,7,4,40
128,139,4,2193.06,4,2,2,26.6666666666667
129,180,4,2753.75,5,2,3,33.3333333333333
130,78,2,1779.58,3,1,2,20
131,207,6,5494.91,6,4,5,50
132,9,6,2780.72,1,4,3,26.6666666666667
133,28,5,803.89,1,3,1,16.6666666666667
134,16,6,2946.42,1,4,3,26.6666666666667
135,117,6,3254.07,4,4,3,36.6666666666667
136,22,8,3543.2,1,5,4,33.3333333333333
137,29,5,1496.45,1,3,2,20
138,66,7,3377.12,2,4,3,30
139,28,9,5161.44,1,6,5,40
140,5,6,2699.9,1,4,3,26.6666666666667
141,161,3,2138.35,5,1,2,26.6666666666667
142,6,11,3917.34,1,7,4,40
143,15,4,2474.77,1,2,3,20
144,8,8,4888.02,1,5,5,36.6666666666667
145,30,7,3140.3,1,4,3,26.6666666666667
146,196,2,217.06,6,1,1,26.6666666666667
147,36,6,5034.16,1,4,5,33.3333333333333
